RS6426_MB_v10_BRD_20241106
Net,PE3_AM5_SLOT2_D4_RXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D4_RXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D4_RXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D1_RXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D1_RXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D3_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D3_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D3_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D3_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D3_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D3_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D3_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D3_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D4_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D4_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D4_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D4_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D4_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D4_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D4_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D4_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D1_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D1_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D1_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D1_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D1_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D1_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D1_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D1_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D2_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D2_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D2_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D2_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D2_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D2_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D2_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D2_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D1_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D1_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D1_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D1_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D1_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D1_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D1_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D1_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D2_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D2_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D2_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D2_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D2_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D2_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_PT21_SLOT1_D2_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT1_D2_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D3_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D3_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D3_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D3_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D3_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D3_TXN1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D3_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D3_TXP1,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D4_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_SLOT2_D4_TXN0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
Net,PE3_AM5_SLOT2_D4_TXP0,14.000:0.000:20.000:20.000:0.000:14.000,5.000,8.000,5.000,5.000
